"Current Assigned Rank","Preference","Start Date","Duration","Grade","Region","Sub-Region","Area(Sector)","Dual Training Programme","Places Available","Description","Programme Name","Programme Number","Tags"
"X","East Midlands - North - ACCS 1","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","1","East Midlands North ACCS Anaesthetics. Rotation M21. Aug 21 - Emer Med Lincoln County; Feb 22 - Acute Med Kings Mill; Aug 22 - Anaes Nottingham City; Feb 23 - ICM Nottingham City. All posts indicative, subject to change","","",""
"X","East Midlands - North - ACCS 2","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","1","East Midlands North ACCS Anaesthetics. Rotation N21. Aug 21 - Acute Med Kings Mill; Feb 22 - Emer Med Derby; Aug 22 - Anaes Derby; Feb 23 - ICM Derby.  All posts indicative, subject to change","","",""
"X","East Midlands - North - ACCS 3","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","1","East Midlands North ACCS Anaesthetics. Rotation P21. Aug 21 - Emer Med Kings Mill; Feb 22 - Acute Med Kings Mill; Aug 22 - Anaes QMC; Feb 23 - ICM QMC. All posts indicative, subject to change","","",""
"X","East Midlands - North - Core 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","3","East Midlands North rotation commencing at Queens Medical Centre (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","3","East Midlands North rotation commencing at Nottingham City Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 3","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","2","East Midlands North rotation commencing at Kings Mill Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 4","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","3","East Midlands North rotation commencing at Lincoln County Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 5","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","2","East Midlands North rotation commencing at Chesterfield Royal Hospital (6 months) - indicative, subject to change","","",""
"X","East Midlands - North - Core 6","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - North","-","","2","East Midlands North rotation commencing at Queens Hospital, Burton (6 months) - indicative, subject to change","","",""
"X","East Midlands - South - ACCS 1","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","1","East Midlands South ACCS Anaesthetics.  Rotation Anaes 1. Aug 21 - Emer Med Kettering General; Feb 22 - Acute Med Leicester Royal; Aug 22 - Anaes Leicester Royal; Feb 23 - ITU Leicester Royal. All posts indicative, subject to change","","",""
"X","East Midlands - South - ACCS 2","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","1","East Midlands South ACCS Anaesthetics.  Rotation Anaes 2. Aug 21 - Acute Med Northampton General; Feb 22 - Emer Med Northampton General; Aug 22 - Anaes Leicester Royal; Feb 23 - ITU Leicester Royal. All posts indicative, subject to change","","",""
"X","East Midlands - South - Core 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","3","East Midlands South rotation commencing at Leicester General Hospital (12 months) - indicative, subject to change","","",""
"X","East Midlands - South - Core 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","1","East Midlands South rotation commencing at Royal Derby Hospital (12 months) - indicative, subject to change","","",""
"X","East Midlands - South - Core 3","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","2","East Midlands South rotation commencing at Kettering General Hospital (12 months) - indicative, subject to change","","",""
"X","East Midlands - South - Core 4","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","2","East Midlands South rotation commencing at Northampton General Hospital (12 months) - indicative, subject to change","","",""
"X","East Midlands - South - Core 5","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East Midlands","Health Education England East Midlands - South","-","","3","East Midlands South rotation commencing at Pilgrim Hospital, Boston (12 months) - indicative, subject to change","","",""
"X","East of England - Basildon - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Basildon","","0","CT1 at Basildon & Thurrock University Hospitals NHS Foundation Trust","","",""
"X","East of England - Bedford - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Bedfordshire","Bedford","","0","CT1 at Bedford Hospital NHS Trust, further rotations to be confirmed by TPD.","","",""
"X","East of England - Bedford - CT1 - Core - 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Bedfordshire","Bedford","","2","Rotation as follows: CT1 Bedford Hospital; CT2 Bedford Hospital; CT3 Peterborough Hospital.  Rotations subject to change.","","",""
"X","East of England - Bedford - CT1 - Core - 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Bedfordshire","Bedford","","2","Rotation as follows: CT1 Bedford Hospital; CT2 Bedford Hospital; CT3 Luton & Dunstable Hospital.  Rotations subject to change. ","","",""
"X","East of England - Bury St Edmunds -  CT1 - Core 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Bury St. Edmunds","","2","Rotation as follows: CT1 West Suffolk Hospital, Bury St Edmunds; CT2 West Suffolk Hospital, Bury St Edmunds; CT3 Peterborough Hospital.  Rotations subject to change.","","",""
"X","East of England - Bury St Edmunds -  CT1 - Core 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Bury St. Edmunds","","1","Rotation as follows: CT1 West Suffolk Hospital, Bury St Edmunds; CT2 West Suffolk Hospital, Bury St Edmunds; CT3 Queen Elizabeth Hospital, Kings Lynn.  Rotations subject to change.","","",""
"X","East of England - Bury St Edmunds - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Bury St. Edmunds","","1","ACCS - Rotation as follows: CT1 West Suffolk Hospital, Bury St Edmunds; CT2 West Suffolk Hospital, Bury St Edmunds; CT3 West Suffolk Hospital, Bury St Edmunds; CT4 Queen Elizabeth Hospital, Kings Lynn.  Rotations subject to change.","","",""
"X","East of England - Bury St Edmunds - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Bury St. Edmunds","","0","CT1 at West Suffolk Hospital NHS Trust, Bury St Edmunds, further rotations to be confirmed by TPD.","","",""
"X","East of England - Bury St Edmunds - CT1 - ACCS - 02","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Bury St. Edmunds","","1","Rotation as follows: CT1 West Suffolk Hospital, Bury St Edmunds; CT2 West Suffolk Hospital, Bury St Edmunds; CT3 West Suffolk Hospital, Bury St Edmunds; CT4 Peterborough Hospital.  Rotations subject to change.","","",""
"X","East of England - Cambridge - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Cambridgeshire","Cambridge","","0","CT1 at Cambridge University Hospitals NHS Foundation Trust, further rotations be be confirmed by TPD.","","",""
"X","East of England - Chelmsford - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Chelmsford","","1","ACCS - Rotation as follows: CT1 Broomfield Hospital, Chelmsford; CT2 Broomfield Hospital, Chelmsford; CT3 Broomfield Hospital, Chelmsford; CT4 Southend Hospital.  Rotations subject to change.","","",""
"X","East of England - Chelmsford - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Chelmsford","","0","CT1 at Mid Essex Hospital Services NHS Trust, Chelmsford, further rotations to be confirmed by TPD.","","",""
"X","East of England - Chelmsford - CT1 - Core 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Chelmsford","","2","Rotation as follows: CT1 Broomfield Hospital, Chelmsford; CT2 Broomfield Hospital, Chelmsford; CT3 Southend Hospital.  Rotations subject to change.","","",""
"X","East of England - Chelmsford - CT1 - Core 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Chelmsford","","1","Rotation as follows: CT1 Broomfield Hospital, Chelmsford; CT2 Broomfield Hospital, Chelmsford; CT3 Colchester Hospital.  Rotations subject to change.","","",""
"X","East of England - Colchester - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Colchester","","1","ACCS - Rotation as follows: CT1 Colchester Hospital; CT2 Colchester Hospital; CT3 Colchester Hospital; CT4 Ipswich Hospital.  Rotations subject to change.","","",""
"X","East of England - Colchester - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Colchester","","0","CT1 at Colchester University Hospital NHS Foundation Trust, further rotations to be confirmed by TPD","","",""
"X","East of England - Colchester - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Colchester","","3","Rotation as follows: CT1 Colchester Hospital; CT2 Colchester Hospital; CT3 Ipswich Hospital.  Rotations subject to change.","","",""
"X","East of England - Gt Yarmouth - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Great Yarmouth","","1","ACCS - Rotation as follows: CT1 James Paget Hospital, Gt Yarmouth; CT2 James Paget Hospital, Gt Yarmouth; CT3 James Paget Hospital, Gt Yarmouth; CT4 Norfolk & Norwich Hospital.  Rotation subject to change.","","",""
"X","East of England - Gt Yarmouth - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Great Yarmouth","","0","CT1 at James Paget University Hospitals NHS Foundation Trust, Gt Yarmouth, further rotations to be confirmed by TPD","","",""
"X","East of England - Gt Yarmouth - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Great Yarmouth","","1","Rotation as follows: CT1 James Paget Hospital, Gt Yarmouth; CT2 James Paget Hospital, Gt Yarmouth; CT3 Norfolk & Norwich Hospital","","",""
"X","East of England - Harlow - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Harlow","","0","CT1 at Princess Alexandra Hospital NHS Trust, Harlow, further rotations to be confirmed by TPD.","","",""
"X","East of England - Harlow - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Harlow","","1","Rotation as follows: CT1 Princess Alexandra Hospital, Harlow; CT2 Princess Alexandra Hospital, Harlow; CT3 Broomfield Hospital, Harlow. Rotations subject to change.","","",""
"X","East of England - Huntingdon - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Cambridgeshire","Huntingdon","","0","CT1 at Hinchingbrooke Hospital NHS Trust, Huntingdon, further rotations to be confirmed by TPD.","","",""
"X","East of England - Ipswich - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Ipswich","","0","CT1 at Ipswich Hospital NHS Trust, further rotations to be confirmed by TPD.","","",""
"X","East of England - Ipswich - CT1 - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Ipswich","","1","ACCS - Rotation as follows: CT1 Ipswich Hospital; CT2 Ipswich Hospital; CT3 Ipswich Hospital; CT4 Colchester Hospital.  Rotations subject to change.","","",""
"X","East of England - Ipswich - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Suffolk","Ipswich","","3","Rotation as follows: CT1 Ipswich Hospital; CT2 Ipswich Hospital; CT3 Colchester Hospital. Rotations subject to change.","","",""
"X","East of England - Kings Lynn - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Kings Lynn","","2","ACCS - Rotation as follows: CT1 Queen Elizabeth Hospital, Kings Lynn; CT2 Queen Elizabeth Hospital, Kings Lynn; CT3 Queen Elizabeth Hospital, Kings Lynn; CT4 West Suffolk Hospital, Bury St Edmunds.  Rotations subject to change.","","",""
"X","East of England - Kings Lynn - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Kings Lynn","","0","CT1 at Queen Elizabeth NHS Trust, Kings Lynn, further rotations to be confirmed by TPD.","","",""
"X","East of England - Kings Lynn - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Kings Lynn","","2","Rotation as follows: CT1 Queen Elizabeth Hospital, Kings Lynn; CT2 Queen Elizabeth Hospital, Kings Lynn; CT3 West Suffolk, Bury St Edmunds.  Rotations subject to change.","","",""
"X","East of England - Luton  - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Bedfordshire","-","","1","Rotation as follows: CT1 Luton & Dunstable Hospital; CT2 Luton & Dunstable Hospital; CT3 Luton & Dunstable Hospital; CT4 Watford General Hospital","","",""
"X","East of England - Luton - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Bedfordshire","-","","0","Rotation as follows: CT1 Luton & Dunstable Hospital; CT2 Luton & Dunstable Hospital; CT3 Bedford Hospital.  Rotations subject to change.","","",""
"X","East of England - Luton - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Bedfordshire","-","","1","Rotation as follows: CT1 Luton & Dunstable Hospital; CT2 Luton & Dunstable Hospital; CT3 Bedford Hospital.  Rotations subject to change.","","",""
"X","East of England - Norwich - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Norwich","","1","ACCS - Rotation as follows: CT1 Norfolk & Norwich Hospital, Norwich; CT2 James Paget Hospital, Gt Yarmouth; CT3 James Paget Hospital, Gt Yarmouth; CT4 Norfolk & Norwich Hospital, Norwich.  Rotations subject to change.","","",""
"X","East of England - Norwich - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Norwich","","0","CT1 at Norfolk & Norwich University Hospital NHS Trust, Norwich, further rotations to be confirmed by TPD","","",""
"X","East of England - Norwich - CT1 - ACCS - 02","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Norfolk","Norwich","","1","Rotation as follows: CT1 Norfolk & Norwich Hospital, Norwich; CT2 Ipswich Hospital; CT3 Ipswich Hospital; CT4 Norfolk & Norwich Hospital, Norwich.  Rotations subject to change.","","",""
"X","East of England - Peterborough - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Cambridgeshire","Peterborough","","2","ACCS - Rotation as follows: CT1 Peterborough Hospital; CT2 Peterborough Hospital; CT3 Peterborough; CT4 Bedford Hospital.  Rotations subject to change..","","",""
"X","East of England - Peterborough - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Cambridgeshire","Peterborough","","0","CT1 at Peterborough City Hospital, further rotations be be confirmed by TPD.","","",""
"X","East of England - Peterborough - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Cambridgeshire","Peterborough","","2","Rotation as follows: CT1 Peterborough Hospital; CT2 Peterborough Hospital; CT3 West Suffolk Hospital, Bury St Edmunds. Rotations subject to change.","","",""
"X","East of England - Southend - ACCS","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Southend","","1","ACCS - Rotation as follows: CT1 Southend Hospital; CT2 Southend Hospital; CT3 Southend Hospital; CT4 Broomfield Hospital, Chelmsford.  Rotations subject to change.","","",""
"X","East of England - Southend - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Southend","","0","CT1 at Southend University Hospital NHS Foundation Trust, further rotations to be confirmed by TPD.","","",""
"X","East of England - Southend - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Essex","Southend","","1","Rotation as follows: CT1 Southend Hospital; CT2 Southend Hospital; CT3 Broomfield Hospital, Chelmsford.  Rotations subject to change.","","",""
"X","East of England - Stevenage - - CT1 - Core - 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Hertfordshire","Stevenage","","1","Rotation as follows: CT1 Lister Hospital, Stevenage; CT2 Lister Hospital, Stevenage; CT3 Luton & Dunstable Hospital.  Rotations subject to change.","","",""
"X","East of England - Stevenage - - CT1 - Core - 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Hertfordshire","Stevenage","","1","Rotation as follows: CT1 Lister Hospital, Stevenage; CT2 Lister Hospital, Stevenage; CT3 Watford General Hospital.  Rotations subject to change","","",""
"X","East of England - Stevenage - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Hertfordshire","Stevenage","","0","CT1 at East & North Hertfordshire NHS Trust, Lister Hospital, Stevenage, further rotations to be confirmed by TPD.","","",""
"X","East of England - Watford - - CT1 - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Hertfordshire","Watford","","2","Rotation as follows: CT1 Watford General Hospital; CT2 Watford General Hospital; CT3 Lister Hospital, Stevenage.  Rotations subject to change.","","",""
"X","East of England - Watford - Core","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England East of England","Health Education England East of England - Hertfordshire","Watford","","0","CT1 at West Hertfordshire NHS Trust, Watford, further rotations to be confirmed by TPD.","","",""
"X","Kent, Surrey and Sussex - Kent - ACCS -1","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","1","KSS ACCS Kent - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Darent Valley Hospital, Dartford & Gravesham NHS Trust, CT3 (Anaes) Medway Maritime Hospital, Medway NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - ACCS -2","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","3","KSS ACCS Kent - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Darent Valley Hospital, Dartford & Gravesham NHS Trust, CT3 (Anaes) Maidstone & Tunbridge Wells NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - ACCS -3","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","1","KSS ACCS Kent - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) East Kent Hospitals NHS Trust, CT3 (Anaes) Maidstone & Tunbridge Wells NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - ACCS -4","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","1","KSS ACCS Kent - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) East Kent Hospitals NHS Trust, CT3 (Anaes) Medway Maritime Hospital, Medway NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - ACCS -5","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","2","KSS ACCS Kent - CT1  (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Medway Maritime Hospital, Medway NHS Trust, CT3 (Anaes) Darent Valley Hospital, Dartford & Gravesham NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - Core - 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","4","KSS Core Kent - CT1 Queen Elizabeth the Queen Mother Hospital / CT2 William Harvey Hospital, East Kent Hospitals NHS Trust / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - Core - 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","4","KSS Core Kent - CT1 William Harvey Hospital / CT2 Queen Elizabeth the Queen Mother Hospital, East Kent Hospitals NHS Trust / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - Core - 3","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","1","KSS Core Kent - CT1 Medway Maritime Hospital, Medway NHS Trust / CT2 Maidstone & Tunbridge Wells NHS Trust / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - Core - 4","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","1","KSS Core Kent - CT1 Maidstone & Tunbridge Wells NHS Trust  /  CT2 Darent Valley Hospital, Dartford & Gravesham NHS Trust / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Kent - Core - 5","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Kent","-","","2","KSS Core Kent - CT1 Maidstone & Tunbridge Wells NHS Trust / CT2 Medway Maritime Hospital, Medway NHS Trust  / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - ACCS 1","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","1","KSS ACCS Surrey - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Frimley Park Hospital. Frimley Park NHS Trust, CT3 (Anaes) Frimley Park Hospital. Frimley Park NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - ACCS 2","04/08/2021 00:00:00","36","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","2","KSS ACCS Surrey - CT1 (Acute Med and Emergency Med -order tbc on appointment to programme) & CT2 (Anaes and ICM order tbc on appointment to programme) Royal Surrey County Hospital, Royal Surrey NHS Trust, CT3 (Anaes) Royal Surrey County Hospital, Royal Surrey NHS Trust // CT4 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - Core - 1","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","2","KSS Core Surrey - CT1 & CT2 St Peter's Hospital, Ashford & St Peter's NHS Trust / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - Core - 2","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","1","KSS Core Surrey - CT1 St Peter's Hospital, Ashford & St Peter's NHS Trust & CT2 Frimley Park Hospital, Frimley Park NHS Trust /  CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - Core - 3","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","1","KSS Core Surrey - CT1 & CT2 Royal Surrey County Hospital, Royal Surrey NHS Trust /  CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - Core - 4","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","1","KSS Core Surrey - CT1 Royal Surrey County Hospital, Royal Surrey NHS Trust & CT2 Frimley Park Hospital, Frimley Park NHS Trust /  CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - Core - 5","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","2","KSS Core Surrey - CT1 & CT2 East Surrey Hospital, Surrey & Sussex Healthcare NHS Trust  / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
"X","Kent, Surrey and Sussex - Surrey - Core - 6","04/08/2021 00:00:00","24","Core Training Year 1","Health Education England Kent, Surrey and Sussex","Health Education England Kent, Surrey and Sussex - Surrey","-","","1","KSS Core Surrey - CT1 East Surrey Hospital, Surrey & Sussex Healthcare NHS Trust & CT2 St Peter's Hospital, Ashford & St Peter's NHS Trust / CT3 Year To Be Confirmed - Due to the implementation of the new Anaesthetics Curriculum in August 2021, the remainder of this programme will be confirmed at a later date","","",""
